"x","y","Astrocytes","OPCs","Proliferation","Macrophages/Microglia cells","Endothelial cells","Mesenchymal cells","Epithelial cells","Neutrophils"
5670,4799,0.0108961101986498,0.0211666788258078,0.000266720689670517,0.242744593534468,0.0282491622670214,0.0386784220417899,0.047500733908875,0.610497578533718
9872,6119,0.000970854095575844,7.29704231727451e-06,4.24982667238744e-08,0.0161582579473651,0.867090499562288,1.91071522752342e-05,1.25573726284277e-05,0.115741384329284
8357,4680,0.000817456886507058,1.00453491019993e-05,5.87149252501384e-07,0.0030922119160298,0.909270339421138,3.47275041231804e-05,3.38033974278241e-05,0.0867408283764201
4982,4319,0.00508177290965915,0.00114969287780539,2.14268949419139e-06,0.259383132319897,0.126419815055913,0.00439812862920836,0.00717521762371303,0.596390097894311
5532,5038,0.0181012496850874,0.0260528596233097,0.000290419949202228,0.504401671160779,0.0446306141954707,0.0173891939496309,0.0328196385959264,0.356314352840594
3808,8994,0.0366023257695705,0.00234322289232826,0.000444371508332209,0.112927016523619,0.51878880183689,0.00661453513257476,0.00704954605745489,0.315230180279231
8702,4560,0.0089636168124865,0.00187211660920053,0.000979345592504555,0.0302397496747336,0.607048890443778,0.00672084601980805,0.00518506430529351,0.338990370542196
4153,8634,0.00692215514491305,0.00060700286273408,2.11638349269855e-05,0.026237650786825,0.782675578500503,0.0011457707315573,0.00142260518192496,0.180968072956616
7944,4440,0.000855947053945918,0.000201111916559591,1.41444744385879e-05,0.0271782373583518,0.625194321644378,0.000925013883854784,0.00107493974319913,0.344556283925272
8701,6718,0.0396839102818686,0.00361782076713866,2.66189942308043e-05,0.201457503367745,0.232658560712478,0.00440906226200887,0.00855711629558744,0.509589407318943
5602,3720,0.00273164932421781,0.00282202217937198,3.00117324610989e-05,0.239425383838016,0.497649275164147,0.0177434865276766,0.00783854925595338,0.231759621978156
4499,5398,0.0100795549957408,0.0111943763830948,0.00380931325053647,0.161823399389783,0.273481313492005,0.0321268215526994,0.0470570346888472,0.460428186247294
9321,6838,0.0329273098736025,0.0136278893358483,0.000135219259567208,0.245067334348117,0.157672324046461,0.00679581407824721,0.0284756976752955,0.515298411382861
4085,6356,0.00283663982267371,0.00213483220640328,0.000479430783990657,0.200881186300937,0.198355306623424,0.00805501977051045,0.0167165203083823,0.570541064183679
5668,8875,0.0131730769930623,0.011005293111026,0.0015680785353905,0.156764651150086,0.372596574676745,0.015413398278783,0.0342277697990718,0.395251157455836
9528,6719,0.0264444796320863,0.00619164808023257,0.00109253266653181,0.30809571786568,0.0890899275935456,0.0366727853450218,0.0522689238165239,0.480143985000378
