"gene","avg_log2FC","pct.1","pct.2","diff.pct","p_val","p_val_adj","cluster"
"PLP1",3.58136540389088,0.679,0.053,0.626,0,0,"7"
"NFASC",3.57898719232041,0.368,0.045,0.323,7.43350505420847e-219,1.76456542976801e-214,"7"
"AATK",3.57554975953945,0.232,0.014,0.218,5.11813444912834e-207,1.21494275553409e-202,"7"
"PHOX2B",7.39912514196122,0.14,0.001,0.139,9.7588384903135e-210,2.31655308083062e-205,"8"
"DLX6-AS1",6.20904126922817,0.461,0.013,0.448,0,0,"8"
"DLX6",6.0348198564357,0.169,0.004,0.165,7.05608043074656e-194,1.67497237265062e-189,"8"
"RP11-457P14.4",6.03280732375954,0.152,0.004,0.148,2.48402781255949e-158,5.89658522145371e-154,"8"
"DLX5",4.91050269457081,0.364,0.016,0.348,1.06391173535769e-300,2.5255136773921e-296,"8"
"CELF4",3.63830950791879,0.458,0.056,0.402,1.6905425328285e-180,4.0130098644283e-176,"8"
"CAMK4",3.49188504616545,0.152,0.019,0.133,6.43605569986552e-56,1.52779090203408e-51,"8"
"PLXNA4",3.38429834177597,0.271,0.037,0.234,1.29400656288186e-92,3.07171277896895e-88,"8"
"DLX1",3.37377202374062,0.166,0.033,0.133,3.41365053318105e-37,8.10332363566517e-33,"8"
"SPOCK1",3.33001345990733,0.192,0.022,0.17,4.66535731308916e-77,1.10746251898111e-72,"8"
"SYT1",3.28573943870532,0.513,0.091,0.422,6.38983340242994e-147,1.51681865306882e-142,"8"
"CHD5",3.11945351920976,0.114,0.018,0.096,1.98126877379781e-32,4.70313581524123e-28,"8"
"CHRNA3",3.11140880857491,0.117,0.013,0.104,8.16313525816314e-47,1.93776504758277e-42,"8"
"SLC17A8",3.04661505228363,0.105,0.011,0.094,1.18233528210645e-45,2.80662749266428e-41,"8"
"HAND2",3.02285009692087,0.338,0.085,0.253,6.40532936263807e-62,1.52049708410303e-57,"8"
"TFAP2B",2.82026729187168,0.286,0.08,0.206,1.98240615226562e-44,4.70583572424812e-40,"8"
"SRRM4",2.48878265317662,0.137,0.02,0.117,6.77834426217901e-42,1.60904336095605e-37,"8"
"NMNAT2",2.42108404048,0.128,0.031,0.097,1.55847516179286e-22,3.69950833906388e-18,"8"
"MEG3",2.35448793166213,0.866,0.395,0.471,4.12241347018422e-120,9.7857850955233e-116,"8"
"RBMS3",2.2845087977113,0.111,0.031,0.08,3.8036865611851e-16,9.0291911589412e-12,"8"
"HMP19",2.25227046077065,0.63,0.171,0.459,3.61954766752238e-110,8.59208225316462e-106,"8"
